Name,Description,styleUrl,Power,ChargeCoreDescription,Address,Latitude,Longitude,Provider,Coordinates
โฮมโปร สาขาร้อยเอ็ด,"Power: 125 kW<br>Description: 2x CCS2 125 kW (300A)<br>Address: 116 หมู่ 3 Chaeng Sanit Rd, Dong Lan, Mueang Roi Et District, Roi Et 45000<br>Latitude: 16.062636<br>Longitude: 103.620412<br>Provider: EleX",#icon-1899-DB4436-labelson,125 kW,2x CCS2 125 kW (300A),"116 หมู่ 3 Chaeng Sanit Rd, Dong Lan, Mueang Roi Et District, Roi Et 45000",16.062636,103.620412,EleX,"
            103.620412,16.062636,0
          "
โฮมโปร สาขาสุรินทร์,"Power: 125 kW<br>Description: 2x CCS2 125 kW (300A)<br>Address: สุรินทร์-ศีขรภูมิ Nok Mueang, Mueang Surin District, Surin 32000<br>Latitude: 14.879064<br>Longitude: 103.520008<br>Provider: EleX",#icon-1899-DB4436-labelson,125 kW,2x CCS2 125 kW (300A),"สุรินทร์-ศีขรภูมิ Nok Mueang, Mueang Surin District, Surin 32000",14.879064,103.520008,EleX,"
            103.520008,14.879064,0
          "
โฮมโปร สาขาราชบุรี,"Power: 125 kW<br>Description: 2x CCS2 125 kW (300A)<br>Address: Chedi Hak, Mueang Ratchaburi, Ratchaburi 70000<br>Latitude: 13.537402<br>Longitude: 99.799411<br>Provider: EleX",#icon-1899-DB4436-labelson,125 kW,2x CCS2 125 kW (300A),"Chedi Hak, Mueang Ratchaburi, Ratchaburi 70000",13.537402,99.799411,EleX,"
            99.799411,13.537402,0
          "
HomePro ระยอง,"Power: 125 kW<br>Description: 2x CCS2 125 kW (300A)<br>Address: 560 Sukhumvit Road, Tambon Noen Phra, Mueang Rayong District, Rayong 21000<br>Latitude: 12.684306<br>Longitude: 101.244655<br>Provider: EleX",#icon-1899-DB4436-labelson,125 kW,2x CCS2 125 kW (300A),"560 Sukhumvit Road, Tambon Noen Phra, Mueang Rayong District, Rayong 21000",12.684306,101.244655,EleX,"
            101.244655,12.684306,0
          "
HomePro เลย,Power: 125 kW<br>Description: 2x CCS2 125 kW (300A)<br>Address: 560 Sukhumvit Road Tambon Noen Phra Mueang Mueang Loei 42000<br>Latitude: 17.470892<br>Longitude: 101.725919<br>Provider: EleX,#icon-1899-DB4436-labelson,125 kW,2x CCS2 125 kW (300A),560 Sukhumvit Road Tambon Noen Phra Mueang Mueang Loei 42000,17.470892,101.725919,EleX,"
            101.725919,17.470892,0
          "
SUPERFAST by PPWE ท่าใหม่,"Power: 100 kW<br>Description: 2x CCS2 100 kW<br>Address: 89 5, Khao Wua, Tha Mai District, Chanthaburi 22120<br>Latitude: 12.657898<br>Longitude: 102.058864<br>Provider: EleX",#icon-1899-DB4436-labelson,100 kW,2x CCS2 100 kW,"89 5, Khao Wua, Tha Mai District, Chanthaburi 22120",12.657898,102.058864,EleX,"
            102.058864,12.657898,0
          "
Market Village ภูเก็ต,"Power: 125 kW<br>Description: 2x CCS2 125 kW (300A)<br>Address: 61 10 Chao Fah Tawan Tok Rd, Chalong, Mueang Phuket District, Phuket 83130<br>Latitude: 7.824522<br>Longitude: 98.340263<br>Provider: EleX",#icon-1899-DB4436-labelson,125 kW,2x CCS2 125 kW (300A),"61 10 Chao Fah Tawan Tok Rd, Chalong, Mueang Phuket District, Phuket 83130",7.824522,98.340263,EleX,"
            98.340263,7.824522,0
          "
The One Hotel,"Power: 125 kW<br>Description: 2x CCS2 125 kW (300A)<br>Address: 459 หมู่ 1 ถนนบึงกาฬ-นครพรม Bueng Kan, Mueang Bueng Kan District, Bueng Kan 38000<br>Latitude: 18.35841<br>Longitude: 103.647773<br>Provider: EleX",#icon-1899-DB4436-labelson,125 kW,2x CCS2 125 kW (300A),"459 หมู่ 1 ถนนบึงกาฬ-นครพรม Bueng Kan, Mueang Bueng Kan District, Bueng Kan 38000",18.35841,103.647773,EleX,"
            103.647773,18.35841,0
          "
KOLAO BMW Laos,"Power: 120 kW<br>Description: 2x CCS2 120 kW (200A)<br>Address: BMW Premium Auto, Rue 23 Singha road, Vientiane, Laos<br>Latitude: 17.974273<br>Longitude: 102.627949<br>Provider: EleX",#icon-1899-DB4436-labelson,120 kW,2x CCS2 120 kW (200A),"BMW Premium Auto, Rue 23 Singha road, Vientiane, Laos",17.974273,102.627949,EleX,"
            102.627949,17.974273,0
          "
มหาวิทยาลัยราชภัฏเพชรบูรณ์,"Power: 100 kW<br>Description: 2x CCS2 100 kW<br>CCS2 100 kW, CHAdeMO 100 kW<br>Address: 83 หมู่ 11 ถนนสระบุรี-หล่มสัก ตำบลสะเดียง อำเภอเมือง จังหวัดเพชรบูรณ์ 67000<br>Latitude: 16.451985<br>Longitude: 101.152862<br>Provider: EleX",#icon-1899-DB4436-labelson,100 kW,"2x CCS2 100 kW
CCS2 100 kW, CHAdeMO 100 kW",83 หมู่ 11 ถนนสระบุรี-หล่มสัก ตำบลสะเดียง อำเภอเมือง จังหวัดเพชรบูรณ์ 67000,16.451985,101.152862,EleX,"
            101.152862,16.451985,0
          "
Chiangmai ram Health Center,Power: 50 kW<br>Description: 2x CCS2 50 kW<br>Address: 8 ถ.บุญเรืองฤทธิ์ ต.ศรีภูมิ อ.เมือง จ.เชียงใหม่ 50200<br>Latitude: 18.793019<br>Longitude: 98.977575<br>Provider: EleX,#icon-1899-DB4436-labelson,50 kW,2x CCS2 50 kW,8 ถ.บุญเรืองฤทธิ์ ต.ศรีภูมิ อ.เมือง จ.เชียงใหม่ 50200,18.793019,98.977575,EleX,"
            98.977575,18.793019,0
          "
PT ถ.พระเทพ 1,Power: 150 kW<br>Description: 2x CCS2 150 kW<br>Address: เลขที่ 509/3 ถนนพรานนก-พุทธมณฑล แขวงบางพรม เขตตลิ่งชัน กรุงเทพมหานคร<br>Latitude: 13.751819<br>Longitude: 100.442613<br>Provider: EleX,#icon-1899-DB4436-labelson,150 kW,2x CCS2 150 kW,เลขที่ 509/3 ถนนพรานนก-พุทธมณฑล แขวงบางพรม เขตตลิ่งชัน กรุงเทพมหานคร,13.751819,100.442613,EleX,"
            100.442613,13.751819,0
          "
Stay Plus Hotel,"Power: 30 kW<br>Description: CCS2 30 kW<br>CCS2 30 kW<br>CCS2 30 kW<br>CCS2 30 kW<br>Address: เลขที่ 153-155 ถนนบรรทัดทอง, ถนนเพชรบุรี เขตราชเทวี  กรุงเทพฯ10400<br>Latitude: 13.754586<br>Longitude: 100.526973<br>Provider: EleX",#icon-1899-DB4436-labelson,30 kW,"CCS2 30 kW
CCS2 30 kW
CCS2 30 kW
CCS2 30 kW","เลขที่ 153-155 ถนนบรรทัดทอง, ถนนเพชรบุรี เขตราชเทวี  กรุงเทพฯ10400",13.754586,100.526973,EleX,"
            100.526973,13.754586,0
          "
สถานีเรือไฟฟ้าเขื่อนศรีนครินทร์,Power: 150 kW<br>Description: 2x CCS2 150 kW<br>Address: 300 หมู่ 4 ตำบล.ท่ากระดาน อำเภอ.ศรีสวัสดิ์ จังหวัด กาญจนบุรี 71250<br>Latitude: 14.399998<br>Longitude: 99.121566<br>Provider: EleX,#icon-1899-DB4436-labelson,150 kW,2x CCS2 150 kW,300 หมู่ 4 ตำบล.ท่ากระดาน อำเภอ.ศรีสวัสดิ์ จังหวัด กาญจนบุรี 71250,14.399998,99.121566,EleX,"
            99.121566,14.399998,0
          "
PT ถ.วิภาวดีรังสิต 1 (ซ.32),Power: 150 kW<br>Description: 2x CCS2 150 kW<br>Address: เลขที่ 1092 ถนนวิภาวดีรังสิต แขวงจตุจักร กรุงเทพมหานคร<br>Latitude: 13.826043<br>Longitude: 100.558889<br>Provider: EleX,#icon-1899-DB4436-labelson,150 kW,2x CCS2 150 kW,เลขที่ 1092 ถนนวิภาวดีรังสิต แขวงจตุจักร กรุงเทพมหานคร,13.826043,100.558889,EleX,"
            100.558889,13.826043,0
          "
ร้าน Army เขาชะโงก จังหวัดนครนายก,Power: 60 kW<br>Description: 2x CCS2 60 kW<br>Address: เลขที่ 23/4 หมู่ 11 ทางหลวงชนบท ตำบลพรหมณี อำเภอเมือง นครนายก จังหวัดนครนายก 26000<br>Latitude: 14.252612<br>Longitude: 101.178986<br>Provider: EleX,#icon-1899-DB4436-labelson,60 kW,2x CCS2 60 kW,เลขที่ 23/4 หมู่ 11 ทางหลวงชนบท ตำบลพรหมณี อำเภอเมือง นครนายก จังหวัดนครนายก 26000,14.252612,101.178986,EleX,"
            101.178986,14.252612,0
          "
PT ถ.จันทน์,Power: 150 kW<br>Description: 2x CCS2 150 kW<br>Address: เลขที่ 433/30 ถนนจันทร์ แขวงวัดพระยาไกร เขตบางคอแหลม กรุงเทพมหานคร<br>Latitude: 13.70896<br>Longitude: 100.515499<br>Provider: EleX,#icon-1899-DB4436-labelson,150 kW,2x CCS2 150 kW,เลขที่ 433/30 ถนนจันทร์ แขวงวัดพระยาไกร เขตบางคอแหลม กรุงเทพมหานคร,13.70896,100.515499,EleX,"
            100.515499,13.70896,0
          "
PT ถ.ฉลองกรุง 1,Power: 150 kW<br>Description: 2x CCS2 150 kW<br>Address: เลขที่ 65/1 ถนนฉลองกรุง แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร<br>Latitude: 13.746697<br>Longitude: 100.792345<br>Provider: EleX,#icon-1899-DB4436-labelson,150 kW,2x CCS2 150 kW,เลขที่ 65/1 ถนนฉลองกรุง แขวงลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร,13.746697,100.792345,EleX,"
            100.792345,13.746697,0
          "
