Name,Description,styleUrl,Power,Dealership,ChargeCoreDescription,Address,Latitude,Longitude,Provider,Coordinates
บางจาก เทพารักษ์ กม.9,Power: <br>Dealership: Non-dealership<br>Description: <br>Address: 6/3 หมู่ที่ 3 ตำบลบางพลีใหญ่ อำเภอบางพลี จังหวัดสมุทรปราการ 10540<br>Latitude: 13.611028<br>Longitude: 100.670534<br>Provider: MG,#icon-1899-DB4436-labelson,,Non-dealership,,6/3 หมู่ที่ 3 ตำบลบางพลีใหญ่ อำเภอบางพลี จังหวัดสมุทรปราการ 10540,13.611028,100.670534,MG,"
            100.670534,13.611028,0
          "
บางจาก เทพารักษ์ กม.11,Power: <br>Dealership: Non-dealership<br>Description: <br>Address: 72 หมู่ที่ 4 ตำบลบางพลีใหญ่ อำเภอบางพลี จังหวัดสมุทรปราการ 10540<br>Latitude: 13.606314<br>Longitude: 100.692026<br>Provider: MG,#icon-1899-DB4436-labelson,,Non-dealership,,72 หมู่ที่ 4 ตำบลบางพลีใหญ่ อำเภอบางพลี จังหวัดสมุทรปราการ 10540,13.606314,100.692026,MG,"
            100.692026,13.606314,0
          "
บางจาก บางนา – ตราด กม.27,Power: <br>Dealership: Non-dealership<br>Description: <br>Address: 557 หมู่ที่ 1 ตำบลบางบ่อ อำเภอบางบ่อ จังหวัดสมุทรปราการ 10560<br>Latitude: 13.586703<br>Longitude: 100.840578<br>Provider: MG,#icon-1899-DB4436-labelson,,Non-dealership,,557 หมู่ที่ 1 ตำบลบางบ่อ อำเภอบางบ่อ จังหวัดสมุทรปราการ 10560,13.586703,100.840578,MG,"
            100.840578,13.586703,0
          "
บางจาก บางบัวทอง 2,Power: <br>Dealership: Non-dealership<br>Description: <br>Address: 80 หมู่ที่ 9 ตำบลละหาร อำเภอบางบัวทอง จังหวัดนนทบุรี 11110<br>Latitude: 13.955938<br>Longitude: 100.405487<br>Provider: MG,#icon-1899-DB4436-labelson,,Non-dealership,,80 หมู่ที่ 9 ตำบลละหาร อำเภอบางบัวทอง จังหวัดนนทบุรี 11110,13.955938,100.405487,MG,"
            100.405487,13.955938,0
          "
บางจาก รามอินทรา 71 (คู้บอน),Power: 120 kW<br>Dealership: Non-dealership<br>Description: 2x CCS2<br>Address: 92 คู้บอน รามอินทรา คันนายาว กรุงเทพมหานคร 10230<br>Latitude: 13.844191<br>Longitude: 100.66358<br>Provider: MG,#icon-1899-DB4436-labelson,120 kW,Non-dealership,2x CCS2,92 คู้บอน รามอินทรา คันนายาว กรุงเทพมหานคร 10230,13.844191,100.66358,MG,"
            100.66358,13.844191,0
          "
บางจาก ราชพฤกษ์,Power: <br>Dealership: Non-dealership<br>Description: <br>Address: 14/5 หมู่ที่ 5 บางรักน้อย เมืองนนทบุรี นนทบุรี 11000<br>Latitude: 13.88478<br>Longitude: 100.45015<br>Provider: MG,#icon-1899-DB4436-labelson,,Non-dealership,,14/5 หมู่ที่ 5 บางรักน้อย เมืองนนทบุรี นนทบุรี 11000,13.88478,100.45015,MG,"
            100.45015,13.88478,0
          "
บางจาก รัตนาธิเบศน์,Power: 120 kW<br>Dealership: Non-dealership<br>Description: 2x CCS2<br>Address: 79/12 หมู่ที่ 3 ตำบลบางรักน้อย อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11000<br>Latitude: 13.87455<br>Longitude: 100.45802<br>Provider: MG,#icon-1899-DB4436-labelson,120 kW,Non-dealership,2x CCS2,79/12 หมู่ที่ 3 ตำบลบางรักน้อย อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11000,13.87455,100.45802,MG,"
            100.45802,13.87455,0
          "
MG ช้าง อุดรธานี,Power: <br>Dealership: Dealership<br>Description: <br>Address: 237/1 ถนนประจักษ์ศิลปาคม ตำบลหมากแข้ง อำเภอเมือง จังหวัดอุดรธานี 41000<br>Latitude: 17.40571<br>Longitude: 102.795601<br>Provider: MG,#icon-1899-DB4436-labelson,,Dealership,,237/1 ถนนประจักษ์ศิลปาคม ตำบลหมากแข้ง อำเภอเมือง จังหวัดอุดรธานี 41000,17.40571,102.795601,MG,"
            102.795601,17.40571,0
          "
บางจาก กาญจนาภิเษก กม.41,Power: <br>Dealership: Non-dealership<br>Description: <br>Address: 67 หมู่6 ตำบลบางรักพัฒนา อำเภอบางบัวทอง จังหวัดนนทบุรี 11110<br>Latitude: 13.89184<br>Longitude: 100.40774<br>Provider: MG,#icon-1899-DB4436-labelson,,Non-dealership,,67 หมู่6 ตำบลบางรักพัฒนา อำเภอบางบัวทอง จังหวัดนนทบุรี 11110,13.89184,100.40774,MG,"
            100.40774,13.89184,0
          "
MG เบส ออโต้ เซลส์,Power: <br>Dealership: Dealership<br>Description: <br>Address: 1687/1 ถนนเพชรเกษม แขวงหลักสอง เขตบางแค กรุงเทพฯ 10160<br>Latitude: 13.708323<br>Longitude: 100.384271<br>Provider: MG,#icon-1899-DB4436-labelson,,Dealership,,1687/1 ถนนเพชรเกษม แขวงหลักสอง เขตบางแค กรุงเทพฯ 10160,13.708323,100.384271,MG,"
            100.384271,13.708323,0
          "
MG เบส ออโต้ เซลส์ (สาขารามคำแหง),Power: <br>Dealership: Dealership<br>Description: <br>Address: 878/1 ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240<br>Latitude: 13.764074<br>Longitude: 100.652041<br>Provider: MG,#icon-1899-DB4436-labelson,,Dealership,,878/1 ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240,13.764074,100.652041,MG,"
            100.652041,13.764074,0
          "
MG รุ่งเจริญ (สาขาบางนา กม.26),Power: <br>Dealership: Dealership<br>Description: <br>Address: 345 หมู่ 7 ถนนบางนา-ตราด ตำบลบางเสาธง อำเภอบางเสาธง จังหวัดสมุทรปราการ 10540<br>Latitude: 13.590022<br>Longitude: 100.829638<br>Provider: MG,#icon-1899-DB4436-labelson,,Dealership,,345 หมู่ 7 ถนนบางนา-ตราด ตำบลบางเสาธง อำเภอบางเสาธง จังหวัดสมุทรปราการ 10540,13.590022,100.829638,MG,"
            100.829638,13.590022,0
          "
ฺบางจาก สายไหม 63,Power: <br>Dealership: Non-dealership<br>Description: <br>Address: 529 หมู่ 1 ถ. สายไหม แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220<br>Latitude: 13.92145<br>Longitude: 100.67558<br>Provider: MG,#icon-1899-DB4436-labelson,,Non-dealership,,529 หมู่ 1 ถ. สายไหม แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,13.92145,100.67558,MG,"
            100.67558,13.92145,0
          "
บางจาก ปากน้ำ,Power: <br>Dealership: Non-dealership<br>Description: <br>Address: 125/2 ถนนสุขุมวิท ตำบลปากน้ำ อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ 10270<br>Latitude: 13.596901<br>Longitude: 100.604198<br>Provider: MG,#icon-1899-DB4436-labelson,,Non-dealership,,125/2 ถนนสุขุมวิท ตำบลปากน้ำ อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ 10270,13.596901,100.604198,MG,"
            100.604198,13.596901,0
          "
บางจาก พหลโยธิน กม.26,Power: <br>Dealership: Non-dealership<br>Description: <br>Address: พหลโยธิน 73 (ซอยหงวน เหวียนระวิ) แขวงสนามบิน เขตดอนเมือง กรุงเทพมหานคร 10210<br>Latitude: 13.936793<br>Longitude: 100.62448<br>Provider: MG,#icon-1899-DB4436-labelson,,Non-dealership,,พหลโยธิน 73 (ซอยหงวน เหวียนระวิ) แขวงสนามบิน เขตดอนเมือง กรุงเทพมหานคร 10210,13.936793,100.62448,MG,"
            100.62448,13.936793,0
          "
MG ออโต้เฮาส์ สระบุรี,Power: <br>Dealership: Dealership<br>Description: <br>Address: 111 หมู่ที่ 1 ตำบลคำพราน อำเภอวังม่วง จังหวัดสระบุรี 18220<br>Latitude: 14.549055<br>Longitude: 100.938756<br>Provider: MG,#icon-1899-DB4436-labelson,,Dealership,,111 หมู่ที่ 1 ตำบลคำพราน อำเภอวังม่วง จังหวัดสระบุรี 18220,14.549055,100.938756,MG,"
            100.938756,14.549055,0
          "
บางจาก พระราม 2 (กม.12),Power: <br>Dealership: Non-dealership<br>Description: <br>Address: 39/45 ถนนพระราม 2 แขวงแสมแดง เขตบางขุนเทียน กรุงเทพมหานคร 10150<br>Latitude: 13.618681<br>Longitude: 100.386575<br>Provider: MG,#icon-1899-DB4436-labelson,,Non-dealership,,39/45 ถนนพระราม 2 แขวงแสมแดง เขตบางขุนเทียน กรุงเทพมหานคร 10150,13.618681,100.386575,MG,"
            100.386575,13.618681,0
          "
