Name,Description,styleUrl,NameEN,Power,ChargeCoreDescription,Address,Latitude,Longitude,Provider,Coordinates
ปตท บจ.เออเบินสเตชั่น,Name-EN: PTT Urban Station<br>Power: 120 kW<br>Description: ChargeCore CCSx2: 2x CCS2 (1000V 200A)<br>Address: 95/10 ม.9 ถ.ฉลองกรุง แขวงลำผักชี เขตหนองจอก จ.กรุงเทพมหานคร 10530<br>Latitude: 13.79757<br>Longitude: 100.83239<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Urban Station,120 kW,ChargeCore CCSx2: 2x CCS2 (1000V 200A),95/10 ม.9 ถ.ฉลองกรุง แขวงลำผักชี เขตหนองจอก จ.กรุงเทพมหานคร 10530,13.79757,100.83239,PTT,"
            100.83239,13.79757,0
          "
ปตท บจ.ก.กิจบายพาส,"Name-EN: PTT K. Kit Bypass Co., Ltd<br>Power: 120 kW<br>Description: ChargeCore NKR-ADC: 2x CCS2 (1000V 200A)<br>Address: 14/26 ม.3 ถ.เลี่ยงเมือง ต.มะขามเตี้ย อ.เมืองสุราษฎร์ธานี สุราษฎร์ธานี 84000<br>Latitude: 9.10267223074176<br>Longitude: 99.3149428101423<br>Provider: PTT",#icon-1899-DB4436-labelson,"PTT K. Kit Bypass Co., Ltd",120 kW,ChargeCore NKR-ADC: 2x CCS2 (1000V 200A),14/26 ม.3 ถ.เลี่ยงเมือง ต.มะขามเตี้ย อ.เมืองสุราษฎร์ธานี สุราษฎร์ธานี 84000,9.10267223074176,99.3149428101423,PTT,"
            99.3149428101423,9.10267223074176,0
          "
ปตท บ้านโพธิ์,"Name-EN: PTT Ban Pho<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 110 หมู่ 3 ถ.บางปะกง-ฉะเชิงเทรา ต.แสนภูดาษ อ.บ้านโพธิ์ จ.ฉะเชิงเทรา 24140<br>Latitude: 13.5879605981525<br>Longitude: 101.011142303897<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Ban Pho,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",110 หมู่ 3 ถ.บางปะกง-ฉะเชิงเทรา ต.แสนภูดาษ อ.บ้านโพธิ์ จ.ฉะเชิงเทรา 24140,13.5879605981525,101.011142303897,PTT,"
            101.011142303897,13.5879605981525,0
          "
ปตท บจ.ปิโตรเลียม (ไทรน้อย),Name-EN: PTT Petroleum (Sainoi)<br>Power: 120 kW<br>Description: StarCharge Jupiter120: 2x CCS2 (1000V 200A)<br>Address: 888 ม.1 ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110<br>Latitude: 13.93656<br>Longitude: 100.3949<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Petroleum (Sainoi),120 kW,StarCharge Jupiter120: 2x CCS2 (1000V 200A),888 ม.1 ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110,13.93656,100.3949,PTT,"
            100.3949,13.93656,0
          "
ปตท เมืองระยอง,Name-EN: PTT Mueang Rayong<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2 (1000V 200A)<br>Address: 851/1 สุขุมวิท เชิงเนิน เมืองระยอง ระยอง 21000<br>Latitude: 12.67521987<br>Longitude: 101.2887443<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Mueang Rayong,120 kW,ChargeCore NKR: 2x CCS2 (1000V 200A),851/1 สุขุมวิท เชิงเนิน เมืองระยอง ระยอง 21000,12.67521987,101.2887443,PTT,"
            101.2887443,12.67521987,0
          "
ปตท บจ.ณัฏฐ์ธน ปิโตรเลียม,"Name-EN: PTT Natthon Petroleum<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 138/4 ม.2 ต.บึง อ.ศรีราชา จ.ชลบุรี 20230<br>Latitude: 13.057274<br>Longitude: 100.982399<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Natthon Petroleum,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",138/4 ม.2 ต.บึง อ.ศรีราชา จ.ชลบุรี 20230,13.057274,100.982399,PTT,"
            100.982399,13.057274,0
          "
ปตท ชะอำ,Name-EN: PTT Cha Am<br>Power: 120 kW<br>Description: ChargeCore NKR-ADC: 2x CCS2 (1000V 200A)<br>Address: 499/1 ถ.เพชรเกษม(ชะอำ) ต.ชะอำ อ.ชะอำ เพชรบุรี 76120<br>Latitude: 12.79909231<br>Longitude: 99.97192449<br>Provider: PTT,#icon-1899-DB4436-labelson,PTT Cha Am,120 kW,ChargeCore NKR-ADC: 2x CCS2 (1000V 200A),499/1 ถ.เพชรเกษม(ชะอำ) ต.ชะอำ อ.ชะอำ เพชรบุรี 76120,12.79909231,99.97192449,PTT,"
            99.97192449,12.79909231,0
          "
โรบินสัน ไลฟ์สไตล์ บุรีรัมย์,"Name-EN: Robinson Lifestyle Buriram<br>Power: 120 kW<br>Description: ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)<br>Address: 125 หมู่ 6 ถนนบุรีรัมย์-นางรอง ตำบลอิสาณ อำเภอเมืองบุรีรัมย์ บุรีรัมย์ 31000<br>Latitude: 14.9733538515537<br>Longitude: 103.064200682986<br>Provider: PTT",#icon-1899-DB4436-labelson,Robinson Lifestyle Buriram,120 kW,"ChargeCore NKR: 2x CCS2, Type 2 (1000V 200A)",125 หมู่ 6 ถนนบุรีรัมย์-นางรอง ตำบลอิสาณ อำเภอเมืองบุรีรัมย์ บุรีรัมย์ 31000,14.9733538515537,103.064200682986,PTT,"
            103.064200682986,14.9733538515537,0
          "
ปตท แยกหาดจอมเทียน,"Name-EN: PTT Jomtien Beach Intersection<br>Power: 120 kW<br>Description: StarCharge Jupiter120: 2x CCS2, Type 2 (1000V 200A)<br>Address: 93/16 ม.12 ต.หนองปรือ อ.บางละมุง ชลบุรี 20150<br>Latitude: 12.882359<br>Longitude: 100.898697<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Jomtien Beach Intersection,120 kW,"StarCharge Jupiter120: 2x CCS2, Type 2 (1000V 200A)",93/16 ม.12 ต.หนองปรือ อ.บางละมุง ชลบุรี 20150,12.882359,100.898697,PTT,"
            100.898697,12.882359,0
          "
ปตท หนองแขม,"Name-EN: PTT Nong Khaem<br>Power: 120 kW<br>Description: StarCharge Jupiter120: 2x CCS2, Type 2 (1000V 200A)<br>Address: 15/1 ถ.เพชรเกษม แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160<br>Latitude: 13.7066582<br>Longitude: 100.370452<br>Provider: PTT",#icon-1899-DB4436-labelson,PTT Nong Khaem,120 kW,"StarCharge Jupiter120: 2x CCS2, Type 2 (1000V 200A)",15/1 ถ.เพชรเกษม แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160,13.7066582,100.370452,PTT,"
            100.370452,13.7066582,0
          "
